location,population,highestinfectioncount,percentpopulationinfected
Northern Cyprus,382836,0,0
Scotland,5466000,0,0
Western Sahara,576005,0,0
Taiwan,23893396,0,0
North Korea,26069416,0,0
Macao,695180,0,0
England,56550000,0,0
Wales,3170000,0,0
Hong Kong,7488863,0,0
Northern Ireland,1896000,0,0
Turkmenistan,6430777,0,0
Cyprus,896007,691252,77.1480579950826
Brunei,449002,344797,76.7918628424818
San Marino,33690,25292,75.0727218759276
Austria,8939617,6082354,68.0381944774592
South Korea,51815808,34571873,66.7207061597882
Faeroe Islands,53117,34658,65.2484138787959
Slovenia,2119843,1355980,63.9660578637192
Gibraltar,32677,20550,62.8882700370291
Martinique,367512,230354,62.6793138727443
Luxembourg,647601,391583,60.4667071236765
Andorra,79843,48015,60.1367684080007
Jersey,110796,66391,59.9218383335139
Denmark,5882259,3435018,58.3962385879303
Saint Pierre and Miquelon,5885,3426,58.2158028887001
France,67813000,38997490,57.5073953371772
Iceland,372903,210013,56.31839915474
Guernsey,63329,35326,55.7817113802523
Niue,1952,1074,55.0204918032787
Portugal,10270857,5647610,54.9867455072152
Liechtenstein,39355,21577,54.826578579596
Greece,10384972,5639130,54.3008686012827
Singapore,5637022,3006155,53.3287789190817
Latvia,1850654,977765,52.8334848113154
Guadeloupe,395762,203235,51.3528332684795
Israel,9449000,4841558,51.2388400888983
Switzerland,8740471,4454498,50.9640498778613
Reunion,974062,494595,50.7765419449686
Falkland Islands,3801,1923,50.5919494869771
New Zealand,5185289,2609853,50.3318715697428
Saint Barthelemy,10994,5507,50.090958704748
Georgia,3744385,1863101,49.7571964421394
Lithuania,2750058,1366695,49.6969518461065
Netherlands,17564020,8636638,49.1723307078903
Seychelles,107135,51770,48.3222102954217
Bahrain,1472237,696614,47.3167024059306
Monaco,36491,17181,47.0828423446877
Germany,83369840,38437756,46.1051094736418
Estonia,1326064,610471,46.0363149893218
Cayman Islands,68722,31472,45.7961060504642
Czechia,10493990,4759657,45.3560275929365
Australia,26177410,11861161,45.3106743562484
Italy,59037472,26727144,45.2714912996275
Isle of Man,84534,38008,44.9617905221568
Bonaire Sint Eustatius and Saba,27052,11922,44.0706786928878
Cook Islands,17032,7326,43.0131517144199
Nauru,12691,5393,42.4946812701915
Belgium,11655923,4863063,41.7218181691832
Aruba,106459,44224,41.540874890803
European Union,450146793,185658959,41.2440923465604
Saint Helena,5401,2166,40.1036845028698
Montenegro,627082,251280,40.0713144373463
Barbados,281646,110786,39.3351938248724
Marshall Islands,41593,16248,39.064265621619
Saint Martin (French part),31816,12324,38.7352275584611
Puerto Rico,3252412,1252713,38.5164302677521
Serbia,6871547,2583470,37.5966285321195
United Kingdom,67508936,24938095,36.9404355595236
Maldives,523798,186694,35.6423659502327
Palau,18084,6366,35.2023888520239
Ireland,5023108,1737848,34.5970661988554
High income,1250514600,428715043,34.2830897776004
Europe,744807803,252653975,33.9220365283955
Slovakia,5643455,1877778,33.2735531691136
Oceania,45038860,14968480,33.234588974943
Croatia,4030361,1317144,32.6805464820645
Wallis and Futuna,11596,3760,32.42497412901
French Guiana,304568,98041,32.1901841296525
Montserrat,4413,1403,31.7924314525266
United States,338289856,103436829,30.5763909751997
Guam,171783,52287,30.4378198075479
Uruguay,3422796,1041263,30.4214157080936
Mongolia,3398373,1011489,29.7639193814216
Northern Mariana Islands,49574,14702,29.6566748698915
Spain,47558632,13980340,29.3960095403922
Bermuda,64207,18860,29.3737442957933
Norway,5434324,1508232,27.7538107775687
New Caledonia,289959,80163,27.6463224110995
Chile,19603736,5400569,27.5486723551062
Japan,123951696,33803572,27.2715687569132
Finland,5540745,1499712,27.0669738455749
Sweden,10549349,2752383,26.0905483362054
Tuvalu,11335,2943,25.9638288486987
French Polynesia,306292,79309,25.8932652501534
United States Virgin Islands,99479,25389,25.5219694608912
Mauritius,1299478,327305,25.1874214107511
